DAY,RECOMMENDED ACTIVITIES
DAY 1,"Arriving at Denpasar Airport. Proceed to hotel by Cab, Buy sim card , 
 Explore Local beach like Kuta Beach or Jimbaran Beach in the evening"
DAY 1, Explore Local beach like Kuta Beach or Jimbaran Beach in the evening
DAY 1,Dinner at Jimbaran Beach or Any local Resturants nearby. 
,
Day 2,Local Sight Seeing
Day 3,Leave for NUSA Penida . - Early Checkout & Leave for SANUR HARBOUR . 
